Description,Price,Review,Rating,Url
"ASUS Vivobook 14, 14.0-inch",33990,134,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfYnRmOjIwMTExMjE2ODM0NTk4OjowOjo&url=%2FASUS-14-0-inch-i3-1005G1-Integrated-X415JA-BV322WS%2Fdp%2FB0BDRJGRXR%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 15.6""",53800,139,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDUyMDc2MTM4NDQyMzAyOjE2NzkwMjg3NzM6c3BfYnRmOjIwMTA3OTkwNjE0Njk4OjowOjo&url=%2FLenovo-IdeaPad-39-62cm-Warranty-82H802XXIN%2Fdp%2FB0BN4JZVRR%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028773%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Apple 2023 MacBook Pro Laptop M2 Max chip with 12‑,309900,4,4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk1NjQ5MDcxMDcwODk0OjE2NzkwMjg3NzU6c3BfYXRmX25leHQ6MjAxMTQxOTgyNTQzOTg6OjA6Og&url=%2FApple-MacBook-Laptop-12%25E2%2580%2591core-30%25E2%2580%2591core%2Fdp%2FB0BSJ3FD8W%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028775%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Apple 2021 MacBook Pro,219894,9,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk1NjQ5MDcxMDcwODk0OjE2NzkwMjg3NzU6c3BfYXRmX25leHQ6MjAwMzIzNjA5OTc3OTg6OjA6Og&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-16%25E2%2580%2591core%2Fdp%2FB09JR5SCS7%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028775%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Lenovo (Renewed) Thinkpad T440-i5-4 GB-500 GB 14-i,13489,0,N/A,https://www.amazon.in/Lenovo-T440-i5-4-GB-500-GB-Integrated/dp/B07S1N2JQ5/ref=sr_1_51?keywords=laptop&qid=1679028775&sr=8-51
(Renewed) Lenovo ThinkPad T Series T450,14651,39,3.8,https://www.amazon.in/Lenovo-ThinkPad-20BV0064US-Professional-Downgrade/dp/B07RWR9T16/ref=sr_1_52?keywords=laptop&qid=1679028775&sr=8-52
(Renewed) HP Ultra Beautiful Laptop 348G4 Intel Co,20990,0,N/A,https://www.amazon.in/HP-Beautiful-Mobile-7th-Processor-14Inches/dp/B0BX6W2XT9/ref=sr_1_53?keywords=laptop&qid=1679028775&sr=8-53
"HP Chromebook 11a, MediaTek MT8183 Processor 11.6 ",21490,265,3.8,https://www.amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_54?keywords=laptop&qid=1679028775&sr=8-54
HP 14s Laptop 11th Gen Intel Core i3-1115G4 14 inc,41990,0,N/A,https://www.amazon.in/HP-i3-1115G4-Graphics-Keyboard-14s-dq2649TU/dp/B0BSKPDWQ8/ref=sr_1_55?keywords=laptop&qid=1679028775&sr=8-55
Lenovo IdeaPad Slim 3 Intel Celeron N4020 4th Gen ,25685,350,3.7,https://www.amazon.in/Lenovo-Anti-Glare-Warranty-Platinum-81WQ00NXIN/dp/B0B7R7HFKL/ref=sr_1_56?keywords=laptop&qid=1679028775&sr=8-56
"HP 14s, AMD Ryzen 5-5500U 14 inches",47990,845,4.2,https://www.amazon.in/HP-Micro-Edge-Graphics-Keyboard-14s-fq1092au/dp/B09R1L73TM/ref=sr_1_57?keywords=laptop&qid=1679028775&sr=8-57
ASUS Vivobook 15,42490,39,4.1,https://www.amazon.in/ASUS-Vivobook-i3-1220P-Graphics-X1502ZA-EJ311WS/dp/B09YHCLB8V/ref=sr_1_58?keywords=laptop&qid=1679028775&sr=8-58
"Fujitsu UH-X 11th Gen Intel Core i7 13.3"" FHD IPS ",89990,92,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk1NjQ5MDcxMDcwODk0OjE2NzkwMjg3NzU6c3BfbXRmOjIwMDc1NzI1NDQxODk4OjowOjo&url=%2FFujitsu-Convertible-Graphics-Warranty-4ZR1F38027%2Fdp%2FB09HT9KK81%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028775%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
(Renewed) HP Ultra Beautiful Laptop 348G4 Intel Co,20990,0,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Nzk1NjQ5MDcxMDcwODk0OjE2NzkwMjg3NzU6c3BfbXRmOjIwMTI2MjIwNTcxMDk4OjowOjo&url=%2FHP-Beautiful-Mobile-7th-Processor-14Inches%2Fdp%2FB0BX6W2XT9%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028775%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
(Renewed) Dell Vostro 4th Gen Intel Core i3 HD Bus,14819,0,N/A,https://www.amazon.in/Dell-Business-Bluetooth-Integrated-Graphics/dp/B0BMX6RRGN/ref=sr_1_61?keywords=laptop&qid=1679028775&sr=8-61
"HP 15s, AMD Ryzen 3 5300U, 15.6 inch",38499,0,N/A,https://www.amazon.in/HP-Anti-Glare-Graphics-15s-eq2213AU/dp/B0BQMZG1SL/ref=sr_1_62?keywords=laptop&qid=1679028775&sr=8-62
